step,accepted_increment,total_increment_attempts,step_time,total_time,increment_size,result,source_line
1,1,1,0.02,0.02,0.02,accepted,6
1,2,1,0.04,0.04,0.02,accepted,7
1,3,1,0.06,0.06,0.02,accepted,8
1,4,1,0.08,0.08,0.02,accepted,9
1,5,1,0.1,0.1,0.02,accepted,10
1,6,1,0.12,0.12,0.02,accepted,11
1,7,1,0.14,0.14,0.02,accepted,12
1,8,1,0.16,0.16,0.02,accepted,13
1,9,1,0.18,0.18,0.02,accepted,14
1,10,1,0.2,0.2,0.02,accepted,15
1,11,1,0.22,0.22,0.02,accepted,16
1,12,1,0.24,0.24,0.02,accepted,17
1,13,1,0.26,0.26,0.02,accepted,18
1,14,1,0.28,0.28,0.02,accepted,19
1,15,1,0.3,0.3,0.02,accepted,20
1,16,1,0.32,0.32,0.02,accepted,21
1,17,1,0.34,0.34,0.02,accepted,22
1,18,1,0.36,0.36,0.02,accepted,23
1,19,1,0.38,0.38,0.02,accepted,24
1,20,1,0.4,0.4,0.02,accepted,25
1,21,1,0.42,0.42,0.02,accepted,26
1,22,1,0.44,0.44,0.02,accepted,27
1,23,1,0.46,0.46,0.02,accepted,28
1,24,1,0.48,0.48,0.02,accepted,29
1,25,1,0.5,0.5,0.02,accepted,30
1,26,1,0.52,0.52,0.02,accepted,31
1,27,1,0.54,0.54,0.02,accepted,32
1,28,1,0.56,0.56,0.02,accepted,33
1,29,1,0.58,0.58,0.02,accepted,34
1,30,1,0.6,0.6,0.02,accepted,35
1,31,1,0.62,0.62,0.02,accepted,36
1,32,1,0.64,0.64,0.02,accepted,37
1,33,1,0.66,0.66,0.02,accepted,38
1,34,1,0.68,0.68,0.02,accepted,39
1,35,1,0.7,0.7,0.02,accepted,40
1,36,1,0.72,0.72,0.02,accepted,41
1,37,1,0.74,0.74,0.02,accepted,42
1,38,1,0.76,0.76,0.02,accepted,43
1,39,1,0.78,0.78,0.02,accepted,44
1,40,1,0.8,0.8,0.02,accepted,45
1,41,1,0.82,0.82,0.02,accepted,46
1,42,1,0.84,0.84,0.02,accepted,47
1,43,1,0.86,0.86,0.02,accepted,48
1,44,1,0.88,0.88,0.02,accepted,49
1,45,1,0.9,0.9,0.02,accepted,50
1,46,1,0.92,0.92,0.02,accepted,51
1,47,1,0.94,0.94,0.02,accepted,52
1,48,1,0.96,0.96,0.02,accepted,53
1,49,1,0.98,0.98,0.02,accepted,54
1,50,1,1.0,1.0,0.02,accepted,55
2,1,1,1.02,0.02,0.02,accepted,56
2,2,1,1.04,0.04,0.02,accepted,57
2,3,1,1.06,0.06,0.02,accepted,58
2,4,2,1.07,0.07,0.01,accepted,60
2,5,1,1.08,0.085,0.015,accepted,61
2,6,1,1.1,0.105,0.02,accepted,62
2,7,1,1.12,0.125,0.02,accepted,63
2,8,1,1.15,0.145,0.02,accepted,64
2,9,1,1.17,0.165,0.02,accepted,65
2,10,1,1.19,0.185,0.02,accepted,66
2,11,1,1.21,0.205,0.02,accepted,67
2,12,1,1.23,0.225,0.02,accepted,68
2,13,1,1.25,0.245,0.02,accepted,69
2,14,1,1.27,0.265,0.02,accepted,70
2,15,1,1.29,0.285,0.02,accepted,71
2,16,1,1.31,0.305,0.02,accepted,72
2,17,1,1.33,0.325,0.02,accepted,73
2,18,1,1.35,0.345,0.02,accepted,74
2,19,1,1.37,0.365,0.02,accepted,75
2,20,1,1.39,0.385,0.02,accepted,76
2,21,1,1.41,0.405,0.02,accepted,77
2,22,1,1.43,0.425,0.02,accepted,78
2,23,1,1.45,0.445,0.02,accepted,79
2,24,1,1.47,0.465,0.02,accepted,80
2,25,1,1.49,0.485,0.02,accepted,81
2,26,1,1.51,0.505,0.02,accepted,82
2,27,1,1.53,0.525,0.02,accepted,83
2,28,1,1.55,0.545,0.02,accepted,84
2,29,1,1.57,0.565,0.02,accepted,85
2,30,1,1.59,0.585,0.02,accepted,86
2,31,1,1.61,0.605,0.02,accepted,87
2,32,1,1.63,0.625,0.02,accepted,88
2,33,1,1.65,0.645,0.02,accepted,89
2,34,1,1.67,0.665,0.02,accepted,90
2,35,1,1.69,0.685,0.02,accepted,91
2,36,1,1.71,0.705,0.02,accepted,92
2,37,1,1.73,0.725,0.02,accepted,93
2,38,1,1.75,0.745,0.02,accepted,94
2,39,1,1.77,0.765,0.02,accepted,95
2,40,1,1.79,0.785,0.02,accepted,96
2,41,1,1.81,0.805,0.02,accepted,97
2,42,1,1.83,0.825,0.02,accepted,98
2,43,1,1.85,0.845,0.02,accepted,99
2,44,1,1.87,0.865,0.02,accepted,100
2,45,1,1.89,0.885,0.02,accepted,101
2,46,1,1.91,0.905,0.02,accepted,102
2,47,1,1.93,0.925,0.02,accepted,103
2,48,1,1.95,0.945,0.02,accepted,104
2,49,1,1.97,0.965,0.02,accepted,105
2,50,1,1.99,0.985,0.02,accepted,106
2,51,1,2.0,1.0,0.015,accepted,107
