element_label,centroid_x,centroid_y,SDV15,EVOL,flag_d_ge_0.5,flag_d_ge_0.95
24129,-0.4881456792354584,-0.4877045005559921,0.00163787591737,,0,0
24129,-0.4881456792354584,-0.4877045005559921,0.0014685173519,,0,0
24129,-0.4881456792354584,-0.4877045005559921,0.0016323865857,,0,0
24129,-0.4881456792354584,-0.4877045005559921,0.00146354816388,,0,0
24130,-0.4644370377063751,-0.4877045005559921,0.00131751620211,,0,0
24130,-0.4644370377063751,-0.4877045005559921,0.00107433204539,,0,0
24130,-0.4644370377063751,-0.4877045005559921,0.00131309265271,,0,0
24130,-0.4644370377063751,-0.4877045005559921,0.00107087905053,,0,0
24131,-0.44072839617729187,-0.4877045005559921,0.000917125376873,,0,0
24131,-0.44072839617729187,-0.4877045005559921,0.000730812840629,,0,0
24131,-0.44072839617729187,-0.4877045005559921,0.000914362899493,,0,0
24131,-0.44072839617729187,-0.4877045005559921,0.000728966668248,,0,0
24132,-0.4170197546482086,-0.4877045005559921,0.000617420242634,,0,0
24132,-0.4170197546482086,-0.4877045005559921,0.000493938510772,,0,0
24132,-0.4170197546482086,-0.4877045005559921,0.000616161851212,,0,0
24132,-0.4170197546482086,-0.4877045005559921,0.000493369472679,,0,0
24133,-0.39331111311912537,-0.4877045005559921,0.000421185482992,,0,0
24133,-0.39331111311912537,-0.4877045005559921,0.000345902168192,,0,0
24133,-0.39331111311912537,-0.4877045005559921,0.000421056844061,,0,0
24133,-0.39331111311912537,-0.4877045005559921,0.0003462874447,,0,0
24134,-0.3696024715900421,-0.4877045005559921,0.000302884349367,,0,0
24134,-0.3696024715900421,-0.4877045005559921,0.000260640837951,,0,0
24134,-0.3696024715900421,-0.4877045005559921,0.000303571781842,,0,0
24134,-0.3696024715900421,-0.4877045005559921,0.00026163973962,,0,0
24135,-0.34589383006095886,-0.4877045005559921,0.000238650769461,,0,0
24135,-0.34589383006095886,-0.4877045005559921,0.000220816276851,,0,0
24135,-0.34589383006095886,-0.4877045005559921,0.000239781002165,,0,0
24135,-0.34589383006095886,-0.4877045005559921,0.000221993788728,,0,0
24136,-0.3221851885318756,-0.4877045005559921,0.000222071481403,,0,0
24136,-0.3221851885318756,-0.4877045005559921,0.000243335263804,,0,0
24136,-0.3221851885318756,-0.4877045005559921,0.000222948146984,,0,0
24136,-0.3221851885318756,-0.4877045005559921,0.000243342743488,,0,0
24137,-0.29847656190395355,-0.4877045005559921,0.000294711819151,,0,0
24137,-0.29847656190395355,-0.4877045005559921,0.000413811358158,,0,0
24137,-0.29847656190395355,-0.4877045005559921,0.000293882389087,,0,0
24137,-0.29847656190395355,-0.4877045005559921,0.000411564687965,,0,0
24138,-0.2747679352760315,-0.4877045005559921,0.000534076360054,,0,0
24138,-0.2747679352760315,-0.4877045005559921,0.000743546930607,,0,0
24138,-0.2747679352760315,-0.4877045005559921,0.000530899094883,,0,0
24138,-0.2747679352760315,-0.4877045005559921,0.000739244511351,,0,0
24139,-0.25105928629636765,-0.4877045005559921,0.000928853871301,,0,0
24139,-0.25105928629636765,-0.4877045005559921,0.00122565135825,,0,0
24139,-0.25105928629636765,-0.4877045005559921,0.000923741841689,,0,0
24139,-0.25105928629636765,-0.4877045005559921,0.0012194524752,,0,0
24140,-0.2273506373167038,-0.4877045005559921,0.00147876818664,,0,0
24140,-0.2273506373167038,-0.4877045005559921,0.00187349878252,,0,0
24140,-0.2273506373167038,-0.4877045005559921,0.00147181621287,,0,0
24140,-0.2273506373167038,-0.4877045005559921,0.0018655762542,,0,0
24141,-0.20364200323820114,-0.4877045005559921,0.00220319838263,,0,0
24141,-0.20364200323820114,-0.4877045005559921,0.00270922388881,,0,0
24141,-0.20364200323820114,-0.4877045005559921,0.0021946572233,,0,0
24141,-0.20364200323820114,-0.4877045005559921,0.00269996304996,,0,0
24142,-0.1799333691596985,-0.4877045005559921,0.00312522170134,,0,0
24142,-0.1799333691596985,-0.4877045005559921,0.00375572335906,,0,0
24142,-0.1799333691596985,-0.4877045005559921,0.00311558227986,,0,0
24142,-0.1799333691596985,-0.4877045005559921,0.00374576891772,,0,0
24143,-0.15622472763061523,-0.4877045005559921,0.00426694424823,,0,0
24143,-0.15622472763061523,-0.4877045005559921,0.00503312330693,,0,0
24143,-0.15622472763061523,-0.4877045005559921,0.00425696186721,,0,0
24143,-0.15622472763061523,-0.4877045005559921,0.00502338074148,,0,0
24144,-0.13251608610153198,-0.4877045005559921,0.00564641365781,,0,0
24144,-0.13251608610153198,-0.4877045005559921,0.00655577424914,,0,0
24144,-0.13251608610153198,-0.4877045005559921,0.00563709484413,,0,0
24144,-0.13251608610153198,-0.4877045005559921,0.00654737418517,,0,0
24145,-0.10880744457244873,-0.4877045005559921,0.00727465795353,,0,0
24145,-0.10880744457244873,-0.4877045005559921,0.00832932442427,,0,0
24145,-0.10880744457244873,-0.4877045005559921,0.00726720783859,,0,0
24145,-0.10880744457244873,-0.4877045005559921,0.0083235502243,,0,0
24146,-0.08445312455296516,-0.4877045005559921,0.0091783599928,,0,0
24146,-0.08445312455296516,-0.4877045005559921,0.0104433000088,,0,0
24146,-0.08445312455296516,-0.4877045005559921,0.00917415507138,,0,0
24146,-0.08445312455296516,-0.4877045005559921,0.0104417074472,,0,0
24147,-0.06246093846857548,-0.4877045005559921,0.0112938564271,,0,0
24147,-0.06246093846857548,-0.4877045005559921,0.0123526807874,,0,0
24147,-0.06246093846857548,-0.4877045005559921,0.0112941395491,,0,0
24147,-0.06246093846857548,-0.4877045005559921,0.0123554775491,,0,0
24148,-0.04664062522351742,-0.4877045005559921,0.0130136627704,,0,0
24148,-0.04664062522351742,-0.4877045005559921,0.0137606738135,,0,0
24148,-0.04664062522351742,-0.4877045005559921,0.0130180716515,,0,0
24148,-0.04664062522351742,-0.4877045005559921,0.0137669742107,,0,0
24149,-0.03609374910593033,-0.4877045005559921,0.0142222084105,,0,0
24149,-0.03609374910593033,-0.4877045005559921,0.0147361336276,,0,0
24149,-0.03609374910593033,-0.4877045005559921,0.0142296906561,,0,0
24149,-0.03609374910593033,-0.4877045005559921,0.014744955115,,0,0
24150,-0.029062499292194843,-0.4877045005559921,0.0150519758463,,0,0
24150,-0.029062499292194843,-0.4877045005559921,0.0154009489343,,0,0
24150,-0.029062499292194843,-0.4877045005559921,0.0150616262108,,0,0
24150,-0.029062499292194843,-0.4877045005559921,0.0154115222394,,0,0
