step,frame,step_time,rp_u2,rp_rf2,rp_u1,rp_rf1,max_sdv14,max_sdv15,max_sdv16,description
Step-1,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,Increment      0: Step Time =    0.000
Step-1,1,0.009999999776482582,0.0,0.0,9.999999747378752e-05,0.00462440587580204,2.9043532776995562e-05,3.6758352507604286e-05,2.1067917259642854e-05,Increment     10: Step Time =   1.0000E-02
Step-1,2,0.019999999552965164,0.0,0.0,0.00019999999494757503,0.009248573333024979,0.0001470431889174506,0.0001638370013097301,9.391660569235682e-05,Increment     20: Step Time =   2.0000E-02
Step-1,3,0.029999999329447746,0.0,0.0,0.0003000000142492354,0.013872227631509304,0.0003558603930287063,0.00038174015935510397,0.0002188829967053607,Increment     30: Step Time =   3.0000E-02
Step-1,4,0.03999999910593033,0.0,0.0,0.00039999998989515007,0.018495092168450356,0.0006555834552273154,0.0006905603222548962,0.000396103278035298,Increment     40: Step Time =   4.0000E-02
Step-1,5,0.05000000074505806,0.0,0.0,0.0005000000237487257,0.02311689406633377,0.0010463432408869267,0.0010904324008151889,0.0006257734494283795,Increment     50: Step Time =   5.0000E-02
Step-1,6,0.05999999865889549,0.0,0.0,0.0006000000284984708,0.02773735672235489,0.0015283123357221484,0.0015815335791558027,0.0009081499883905053,Increment     60: Step Time =   6.0000E-02
Step-1,7,0.07000000029802322,0.0,0.0,0.000699999975040555,0.03235620632767677,0.002101706573739648,0.0021640839986503124,0.0012435505632311106,Increment     70: Step Time =   7.0000E-02
Step-1,8,0.07999999821186066,0.0,0.0,0.0007999999797903001,0.03697316348552704,0.0027667854446917772,0.0028383471071720123,0.001632355386391282,Increment     80: Step Time =   8.0000E-02
Step-1,9,0.09000000357627869,0.0,0.0,0.0008999999845400453,0.0415879525244236,0.0035238517448306084,0.003604630706831813,0.0020750078838318586,Increment     90: Step Time =   9.0000E-02
Step-1,10,0.10000000149011612,0.0,0.0,0.0010000000474974513,0.04620029404759407,0.00437325332313776,0.004463286604732275,0.0025720172561705112,Increment    100: Step Time =   0.1000
Step-1,11,0.10999999940395355,0.0,0.0,0.0010999999940395355,0.050809916108846664,0.005315382964909077,0.005414712708443403,0.0031239588279277086,Increment    110: Step Time =   0.1100
