step,frame,step_time,target_abs_u,rp_u1,rp_rf1,element,integration_point,sdv14,sdv15,sdv16
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7861,1,3.3091939258156344e-05,3.342783747939393e-05,2.6976053391081223e-07
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7861,2,3.483175169094466e-05,3.5185308661311865e-05,3.572787647954101e-07
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7861,3,3.0981005693320185e-05,3.1295476219384e-05,2.528514642108348e-07
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7861,4,3.256650234106928e-05,3.289706728537567e-05,3.2646983072481817e-07
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7862,1,7.344665937125683e-05,7.419203757308424e-05,4.7300950427597854e-06
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7862,2,7.234770600916818e-05,7.308193744393066e-05,4.681362952396739e-06
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7862,3,8.169010834535584e-05,8.251911640400067e-05,4.839703251491301e-06
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7862,4,8.046801667660475e-05,8.128463377943262e-05,4.7895136958686635e-06
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7863,1,0.00034754807711578906,0.00035106539144180715,2.8690248655038886e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7863,2,0.00036312214797362685,0.000366798834875226,3.281622412032448e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7863,3,0.00028595185722224414,0.0002888472517952323,2.1841289708390832e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7863,4,0.0002812955644913018,0.00028414526605047286,2.802915514621418e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7864,1,0.000618219724856317,0.0006244737305678427,6.090143506298773e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7864,2,0.0006159473559819162,0.0006221731891855597,5.2987554227001965e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7864,3,0.0007237012032419443,0.0007310197688639164,6.333942292258143e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7864,4,0.0006988361710682511,0.0007058974006213248,5.652042091242038e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7865,1,0.0008766226819716394,0.0008854945190250874,8.968212205218151e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7865,2,0.0008381796651519835,0.0008466576691716909,7.693738007219508e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7865,3,0.0010252068750560284,0.0010355786653235555,9.08822039491497e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7865,4,0.0009773332858458161,0.00098721485119313,7.951600855449215e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7866,1,0.0013665449805557728,0.0013803510228171945,0.00013301735452841967
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7866,2,0.0012998869642615318,0.0013130140723660588,0.00011461781105026603
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.09212781488895416,7866,3,0.0015517922583967447,0.0015674680471420288,0.00013687096361536533
