element_label,centroid_x,centroid_y,SDV15,EVOL,flag_d_ge_0.5,flag_d_ge_0.95
20581,-0.48837850987911224,-0.4878360778093338,0.00161364057567,,0,0
20581,-0.48837850987911224,-0.4878360778093338,0.00145313248504,,0,0
20581,-0.48837850987911224,-0.4878360778093338,0.00160838628653,,0,0
20581,-0.48837850987911224,-0.4878360778093338,0.00144788459875,,0,0
20582,-0.46513552963733673,-0.4878360778093338,0.00130854069721,,0,0
20582,-0.46513552963733673,-0.4878360778093338,0.0010740167927,,0,0
20582,-0.46513552963733673,-0.4878360778093338,0.00130362680648,,0,0
20582,-0.46513552963733673,-0.4878360778093338,0.00107000861317,,0,0
20583,-0.4418925493955612,-0.4878360778093338,0.000921217375435,,0,0
20583,-0.4418925493955612,-0.4878360778093338,0.00073828548193,,0,0
20583,-0.4418925493955612,-0.4878360778093338,0.000917868281249,,0,0
20583,-0.4418925493955612,-0.4878360778093338,0.000735831214115,,0,0
20584,-0.4186495691537857,-0.4878360778093338,0.000626285909675,,0,0
20584,-0.4186495691537857,-0.4878360778093338,0.000503229268361,,0,0
20584,-0.4186495691537857,-0.4878360778093338,0.000624426349532,,0,0
20584,-0.4186495691537857,-0.4878360778093338,0.000502099748701,,0,0
20585,-0.3954066038131714,-0.4878360778093338,0.000430348067312,,0,0
20585,-0.3954066038131714,-0.4878360778093338,0.000354289630195,,0,0
20585,-0.3954066038131714,-0.4878360778093338,0.000429695966886,,0,0
20585,-0.3954066038131714,-0.4878360778093338,0.000354211748345,,0,0
20586,-0.37216363847255707,-0.4878360778093338,0.000310529459966,,0,0
20586,-0.37216363847255707,-0.4878360778093338,0.00026703288313,,0,0
20586,-0.37216363847255707,-0.4878360778093338,0.000310798146529,,0,0
20586,-0.37216363847255707,-0.4878360778093338,0.000267674215138,,0,0
20587,-0.34892065823078156,-0.4878360778093338,0.000243698406848,,0,0
20587,-0.34892065823078156,-0.4878360778093338,0.000223444047151,,0,0
20587,-0.34892065823078156,-0.4878360778093338,0.000244530616328,,0,0
20587,-0.34892065823078156,-0.4878360778093338,0.000224425006309,,0,0
20588,-0.32567767798900604,-0.4878360778093338,0.000220004221774,,0,0
20588,-0.32567767798900604,-0.4878360778093338,0.000230860794545,,0,0
20588,-0.32567767798900604,-0.4878360778093338,0.000220932168304,,0,0
20588,-0.32567767798900604,-0.4878360778093338,0.000231495156186,,0,0
20589,-0.30243469774723053,-0.4878360778093338,0.000270528282272,,0,0
20589,-0.30243469774723053,-0.4878360778093338,0.00036804532283,,0,0
20589,-0.30243469774723053,-0.4878360778093338,0.000270499964245,,0,0
