frame_tag,node,x,y,multiplier,d,d_lb
F4_segment_initial,1088,-0.07500000000000001,-0.3375,-1.0566171158887104e-08,0.0035637658473791924,0.0035637658473791924
F4_segment_initial,1741,-0.012500000000000011,-0.2375,-1.0666221987359657e-08,0.007070353746073192,0.0070703537460731925
F4_segment_initial,1905,0.012499999999999956,-0.21250000000000002,-1.0259204879229899e-08,0.009115640725511392,0.009115640725511392
F4_segment_initial,2227,-0.012500000000000011,-0.16249999999999998,-1.043458862095836e-08,0.009180110549694922,0.009180110549694922
F4_segment_initial,2386,-0.04999999999999999,-0.1375,-1.1018061363571008e-08,0.006239404978811135,0.006239404978811134
F4_segment_initial,2549,-0.03749999999999998,-0.11249999999999999,-2.22691913593131e-08,0.008295232010215455,0.008295232010215455
F4_segment_initial,2551,-0.012500000000000011,-0.11249999999999999,-1.6029597788927108e-08,0.01221065625758728,0.012210656257587283
F4_segment_initial,2553,0.012499999999999956,-0.11249999999999999,-1.3223125497885029e-08,0.015262163191889201,0.0152621631918892
F4_segment_initial,2555,0.03749999999999998,-0.11249999999999999,-1.0711487510797411e-08,0.016668124455172014,0.016668124455172014
F4_segment_initial,2628,-0.0625,-0.09999999999999998,-1.1288084934308802e-08,0.0050801012229331295,0.005080101222933129
F4_segment_initial,2629,-0.04999999999999999,-0.09999999999999998,-1.2513762134536717e-08,0.00685667050406214,0.00685667050406214
F4_segment_initial,2636,0.03749999999999998,-0.09999999999999998,-1.5911139400102462e-08,0.018109050309068328,0.018109050309068328
F4_segment_initial,2719,0.0625,-0.08750000000000002,-1.2254455533595427e-08,0.018393000569017964,0.018393000569017964
F4_segment_initial,2879,0.03749999999999998,-0.0625,-3.031953163202281e-08,0.023922967641050594,0.023922967641050594
F4_segment_initial,3038,0.0,-0.03749999999999998,-5.634083812093355e-08,0.03605162842064366,0.03605162842064367
F4_segment_initial,3043,0.0625,-0.03749999999999998,-1.4059974540906313e-08,0.020511623424872796,0.0205116234248728
F4_segment_initial,3204,0.050000000000000044,-0.012500000000000011,-1.4698722989078217e-08,0.02462557295106202,0.02462557295106202
F4_segment_initial,3324,0.03749999999999998,0.0,-7.758084222140432e-08,0.03189682502579989,0.03189682502579989
F4_segment_initial,3405,0.03749999999999998,0.012499999999999956,-7.735470684460399e-08,0.031510414470795944,0.031510414470795944
F4_segment_initial,3486,0.03749999999999998,0.025000000000000022,-5.528031422409938e-08,0.030611950730106655,0.030611950730106655
F4_segment_initial,3648,0.03749999999999998,0.050000000000000044,-4.535842860790813e-08,0.026286595612460315,0.026286595612460315
F4_segment_initial,3888,0.0,0.08750000000000002,-1.5169366010230066e-08,0.017288372198179927,0.017288372198179927
F4_segment_initial,3890,0.025000000000000022,0.08750000000000002,-2.168373968824003e-08,0.01966403132603317,0.01966403132603317
F4_segment_initial,3967,-0.025000000000000022,0.09999999999999998,-1.0401988297496975e-08,0.011271642449974464,0.011271642449974462
F4_segment_initial,3972,0.03749999999999998,0.09999999999999998,-1.2715958543241695e-08,0.018060542333185395,0.01806054233318539
F4_segment_initial,4047,-0.03749999999999998,0.11250000000000004,-1.0931772956462485e-08,0.008517003468691362,0.008517003468691364
F4_segment_initial,4050,0.0,0.11250000000000004,-1.3883303591103934e-08,0.01388585289370125,0.013885852893701253
F4_segment_initial,4051,0.012499999999999956,0.11250000000000004,-1.2000391692364986e-08,0.015135300454304668,0.015135300454304668
F4_segment_initial,4368,-0.07500000000000001,0.16249999999999998,-1.0798673137729617e-08,0.0039878787853392834,0.0039878787853392834
F4_segment_initial,6322,0.050000000000000044,0.4625,-1.0059088304073445e-08,0.007486878905900687,0.007486878905900687
F4_segment_inc_001,1088,-0.07500000000000001,-0.3375,-1.0566171158887104e-08,0.0035637658473791924,0.0035637658473791924
F4_segment_inc_001,1741,-0.012500000000000011,-0.2375,-1.0666221987359657e-08,0.0070703537460731925,0.0070703537460731925
F4_segment_inc_001,1905,0.012499999999999956,-0.21250000000000002,-1.0259204879229899e-08,0.009115640725511392,0.009115640725511392
F4_segment_inc_001,2227,-0.012500000000000011,-0.16249999999999998,-1.043458862095836e-08,0.009180110549694922,0.009180110549694922
F4_segment_inc_001,2386,-0.04999999999999999,-0.1375,-1.1018061363571008e-08,0.006239404978811135,0.006239404978811134
F4_segment_inc_001,2549,-0.03749999999999998,-0.11249999999999999,-2.2269191374003272e-08,0.008295232010215455,0.008295232010215455
F4_segment_inc_001,2551,-0.012500000000000011,-0.11249999999999999,-1.6029597837975292e-08,0.012210656257587282,0.012210656257587283
F4_segment_inc_001,2553,0.012499999999999956,-0.11249999999999999,-1.3223125566213324e-08,0.0152621631918892,0.0152621631918892
F4_segment_inc_001,2555,0.03749999999999998,-0.11249999999999999,-1.0711487535097092e-08,0.016668124455172014,0.016668124455172014
F4_segment_inc_001,2628,-0.0625,-0.09999999999999998,-1.1288084934308815e-08,0.0050801012229331295,0.005080101222933129
F4_segment_inc_001,2629,-0.04999999999999999,-0.09999999999999998,-1.2513762155061013e-08,0.00685667050406214,0.00685667050406214
F4_segment_inc_001,2636,0.03749999999999998,-0.09999999999999998,-1.5911139882898854e-08,0.018109050309068335,0.018109050309068328
F4_segment_inc_001,2719,0.0625,-0.08750000000000002,-1.2254464489197063e-08,0.018393000569017968,0.018393000569017964
